用例编号,模块,子模块,用例标题,前置条件,操作步骤,预期结果,优先级,用例设计方法,状态
ZW-EMS-M02-0019,学员管理,学员档案-编辑,编辑学员-修改手机号为有效号码保存,1.列表存在学员A（ID=1001）,1.学员A点击编辑 2.修改手机号为138****0000 3.保存,1.保存成功 2.列表手机号已更新 3.操作日志有编辑记录,P0,等价类,已通过
ZW-EMS-M02-0020,学员管理,学员档案-编辑,编辑学员-修改手机号为已存在号码,1.学员A(ID1001 手机138...) 学员B(ID1002 手机139...),1.编辑学员A 将手机号改为138****0000 2.保存,1.保存失败 2.提示"该手机号已被其他学员使用",P0,错误推测,已通过
ZW-EMS-M02-0021,学员管理,学员档案-编辑,编辑学员-点击取消不保存,1.进入编辑页,1.修改姓名 2.点击【取消】,1.回到列表 2.学员信息未被修改,P1,场景法-异常,已通过
ZW-EMS-M02-0022,学员管理,学员档案-删除,删除学员-单条删除有确认弹窗,1.列表存在学员A,1.学员A点击删除,1.弹出确认框："确定删除该学员？删除后数据不可恢复！",P0,场景法,已通过
ZW-EMS-M02-0023,学员管理,学员档案-删除,删除学员-确认删除成功,1.弹窗已出现,1.点击【确定删除】,1.提示删除成功 2.列表学员A已消失 3.数据库软删除标记=1,P0,场景法,已通过
ZW-EMS-M02-0024,学员管理,学员档案-删除,删除学员-取消删除无变化,1.弹窗已出现,1.点击【取消】,1.弹窗关闭 2.学员仍然在列表,P1,场景法,已通过
ZW-EMS-M02-0025,学员管理,学员档案-删除,删除学员-已报名有缴费记录不允许删除,1.学员C已关联订单与缴费记录,1.学员C点击删除 2.确认,1.提示："该学员已有报名缴费记录，不允许物理删除，请转【结业】状态处理",P0,场景法-业务约束,已失败-已修复
ZW-EMS-M02-0026,学员管理,学员档案-导入,导入学员-模板正确2000条导入成功,1.已下载Excel模板,1.填写模板2000条数据 2.上传文件 3.等待导入完成,1.导入成功 2000/2000 2.列表新增2000条 3.可下载导入成功回执,P1,场景法,已通过
ZW-EMS-M02-0027,学员管理,学员档案-导入,导入学员-模板字段错误提示具体行号,1.准备错误模板：第5行手机号10位 第8行姓名空,1.上传错误模板,1.导入失败 2.报告提示：第5行手机号格式错误 第8行姓名不能为空,P1,边界值-错误,已失败-已修复
ZW-EMS-M02-0028,学员管理,学员档案-导出,导出学员-全量导出CSV格式正确,1.列表数据≥100条,1.点击【导出全部】 2.下载打开CSV,1.数据量与列表总条数一致 2.字段、值、中文显示正常 3.编码UTF-8无乱码,P1,场景法,已通过
ZW-EMS-M02-0029,学员管理,跟进记录,新增跟进记录-内容为空提示,1.进入学员详情页,1.跟进内容留空 2.点击保存跟进,1.提示"请输入跟进内容",P0,等价类,已通过
ZW-EMS-M02-0030,学员管理,跟进记录,新增跟进记录-2000字超长边界,1.进入跟进页,1.输入2000字 2.保存,1.保存成功 2.详情显示完整,P1,边界值-max,已通过
ZW-EMS-M02-0031,学员管理,试听预约,预约试听-选择已排课时段成功,1.数学班课7月1日10:00有1个试听名额,1.学员详情→试听预约 2.选择该时段 3.提交,1.预约成功 2.该班课试听人数+1 3.短信/模板消息通知家长和老师,P0,场景法,已通过
ZW-EMS-M02-0032,学员管理,试听预约,预约试听-名额已满失败,1.该时段试听名额=0,1.选择名额已满的时段 2.提交,1.提示"该时段试听名额已满，请选择其他时段",P0,场景法-边界,已失败-已修复
ZW-EMS-M02-0033,学员管理,学员标签,批量打标签-选中10条学员打标签,1.已创建【高意向】标签,1.勾选10条学员 2.批量操作→打标签 3.选择"高意向" 4.确认,1.10条学员均新增【高意向】标签 2.标签筛选能查出这10条,P1,场景法,已通过
ZW-EMS-M02-0034,学员管理,权限,数据权限-招生老师只能看自己跟进的学员,1.招生老师sales01创建了学员A、B 销售02创建了C、D,1.sales01登录 2.查看学员列表,1.只显示学员A、B 2.不显示C、D 3.即使通过URL修改ID访问学员C 返回403,P0,判定表-数据权限,已失败-已修复
ZW-EMS-M02-0035,学员管理,并发,新增学员-两个招生老师同时使用同一个手机号提交,1.两个浏览器分别登录sales01和sales02,1.两人同时新增同一个手机号138****0000 2.点击保存,1.仅1个成功 1个失败提示重复 2.数据库仅1条记录 3.不出现脏读/幻读,P0,并发测试-错误推测,已通过
ZW-EMS-M02-0036,学员管理,学员档案-XSS,新增学员-姓名输入XSS脚本,1.已登录,1.姓名输入 <script>alert(1)</script> 2.保存,1.被转义保存或拦截 2.列表展示时不执行弹窗脚本,P0,安全测试-XSS,已通过
ZW-EMS-M02-0037,学员管理,学员档案-SQL,搜索框输入SQL注入语句,1.列表页,1.搜索框输入 ' OR '1'='1 2.搜索,1.被过滤或返回空 2.不返回全部学员数据,P0,安全测试-SQL注入,已通过
ZW-EMS-M02-0038,学员管理,列表-UI,学员列表-列宽可拖动保存,1.已打开列表,1.拖动【手机】列宽度 2.刷新页面,1.列宽保存 刷新后仍然生效,P2,易用性,已通过
ZW-EMS-M02-0039,学员管理,详情,学员详情-课时余额显示与数据库一致,1.学员A缴费后剩余课时30节,1.查看学员详情 2.核对 课时余额,1.显示30节 2.与数据库课时记录聚合结果一致,P0,数据校验-SQL,已通过
ZW-EMS-M02-0040,学员管理,详情,学员详情-操作日志按时间倒序显示,1.该学员有5条操作记录,1.点击"操作日志"tab,1.最新记录在最上方 2.操作人/时间/类型/内容完整显示,P2,场景法,已通过
ZW-EMS-M02-0041,学员管理,导入,导入学员-非Excel文件上传拦截,1.,1.上传 .exe/.php/.jsp 文件,1.提示"仅支持 xlsx/xls 文件" 2.文件未上传到服务器,P0,安全-文件上传,已通过
ZW-EMS-M02-0042,学员管理,导入,导入学员-Excel带宏文件.xlsm拦截,1.,1.上传 .xlsm 宏文件,1.被拒绝,P0,安全,已通过
ZW-EMS-M02-0043,学员管理,列表,列表排序-按创建时间倒序/正序,1.,1.点击列头"创建时间",1.数据按点击顺序升序/降序正确排列,P1,场景法,已通过
ZW-EMS-M02-0044,学员管理,列表,批量删除-全选后批量删除软删除,1.列表10条全部选中,1.批量删除 2.确认,1.10条全部从列表消失 2.数据库 deleted=1 保留数据,P0,场景法,已通过
ZW-EMS-M02-0045,学员管理,列表,重置按钮-清空筛选条件回到初始,1.已设置5个筛选条件,1.点击【重置】,1.所有条件清空 2.显示全量数据,P1,场景法,已通过
ZW-EMS-M02-0046,学员管理,新增,新增学员-年级下拉含1-9年级+高中选项,1.,1.打开年级下拉,1.所有枚举值都在下拉中可选择,P1,等价类-枚举,已通过
ZW-EMS-M02-0047,学员管理,新增,新增学员-家长姓名 手机号字段,1.,1.填写家长姓名=张父 家长手机=138...,1.保存成功 详情页家长信息显示正确,P1,等价类,已通过
ZW-EMS-M02-0048,学员管理,新增,提交时网络中断-友好提示,1.使用Fiddler断网,1.填写完成后断网 2.点击保存,1.提示"网络异常，请检查网络后重试" 2.网络恢复后可再次提交,P2,异常场景,已通过
ZW-EMS-M02-0049,学员管理,编辑,编辑学员-切换校区后数据权限归属变化,1.学员A归属东葛校区,1.编辑 修改校区=琅东校区 2.东葛校长登录查看,1.东葛校长不再看到学员A 2.琅东校长可看到,P0,判定表-权限,已失败-已修复
ZW-EMS-M02-0050,学员管理,跟进,跟进记录-下次跟进提醒时间到发系统消息,1.设置明天9:00提醒,1.时间到达9:00,1.用户收到系统消息 2.待办列表出现提醒,P3,场景法,已通过
ZW-EMS-M02-0051,学员管理,试听,试听完成后自动生成评价问卷,1.学员完成了试听,1.试听课时结束时间+1小时 查看学员详情,1.出现"待评价"按钮 2.点击可填问卷,P2,场景法,已通过
ZW-EMS-M02-0052,学员管理,标签,学员标签上限20个,1.学员A已有19个标签,1.再添加2个新标签,1.添加第20个成功 2.第21个提示：学员标签上限20个,P1,边界值,已通过
ZW-EMS-M02-0053,学员管理,导出,按筛选条件导出-导出数量=筛选数量,1.筛选出状态=在读的300条,1.条件导出,1.CSV共301行（含表头） 2.全部为在读学员,P1,数据校验,已通过
ZW-EMS-M02-0054,学员管理,导入,导入重复手机号覆盖策略选择,1.,1.上传模板中20条已有手机号 2.选择"跳过重复",1.重复的20条提示已跳过 未覆盖,P1,判定表-策略,已通过
ZW-EMS-M02-0055,学员管理,导入,导入重复手机号-选择"覆盖更新",1.同上,1.选择"覆盖更新",1.原记录被覆盖更新为新值 保留原ID,P1,判定表,已通过
ZW-EMS-M02-0056,学员管理,档案,生日年龄自动计算,1.输入生日=2015-06-01 今天是2025-06-05,1.保存后看学员年龄,1.自动显示年龄=10岁,P1,数据校验,已失败-已修复
ZW-EMS-M02-0057,学员管理,新增,保存按钮防抖-快速双击只提交一次,1.,1.快速双击保存按钮2次,1.仅新增1条学员 2.控制台只发1次POST请求,P0,并发/防抖,已失败-已修复
ZW-EMS-M02-0058,学员管理,新增,新增-重置按钮清空所有已填内容,1.填写了多个字段,1.点击【重置】,1.所有输入框、下拉、日期均恢复初始空值,P1,场景法,已通过
ZW-EMS-M02-0059,学员管理,列表,翻页后保持已选择状态,1.第1页选中学员A 翻页到第2页选中B 回到第1页,1.检查选中状态,1.学员A仍然选中 学员B也选中 可批量操作,P2,易用性,已通过
ZW-EMS-M02-0060,学员管理,档案,禁用账号-学员登录小程序被拒绝,1.学员账号已禁用,1.学员用微信登录小程序,1.提示"您的账号已禁用，请联系校区老师",P0,场景法,已通过
ZW-EMS-M02-0061,学员管理,档案,敏感字段脱敏-手机号中间4位*,1.普通角色sales01登录,1.查看学员列表手机号列,1.显示 138****8001 2.超级管理员可看到完整号码,P0,安全-脱敏,已失败-已修复
ZW-EMS-M02-0062,学员管理,档案,Excel导出手机号也按角色脱敏,1.sales01登录导出,1.打开导出Excel,1.手机号列是脱敏格式 ****,P0,安全,已通过
ZW-EMS-M02-0063,学员管理,新增,日期字段-出生日期不能晚于今天,1.,1.出生日期输入2099-01-01 2.保存,1.提示："出生日期不能晚于当前日期",P1,边界值,已通过
ZW-EMS-M02-0064,学员管理,新增,日期字段-出生日期=今天可以,1.今天2025-06-20,1.出生日期=2025-06-20,1.保存成功,P1,边界值,已通过
ZW-EMS-M02-0065,学员管理,新增,出生日期刚好18年前一天=未成年,1.今天2025-06-20,1.出生日期=2007-06-21,1.学员分类=未成年 自动勾选"需家长同意",P1,边界值,已通过
ZW-EMS-M02-0066,学员管理,新增,无权限用户-接口级别的数据创建测试,1.测试账号test01无学员新增权限 拿到token,1.直接构造POST /api/student 请求,1.返回 403 Forbidden 2.响应体 code≠0 3.DB无新增,P0,越权测试,已通过
ZW-EMS-M02-0067,学员管理,新增,表单全字段留空提交,1.,1.直接保存,1.每个必填字段都显示对应的错误提示 非必填无报错,P1,等价类-全无效,已通过
ZW-EMS-M02-0068,学员管理,编辑,编辑时ID参数篡改越权,1.当前用户只能编辑自己校区的学员,1.编辑URL把id改成其他校区的学员,1.403或提示无权限,P0,越权,已通过
ZW-EMS-M02-0069,学员管理,删除,批量删除-没有选中点击按钮,1.,1.点击批量删除,1.提示："请先选择要删除的学员",P2,易用性,已通过
ZW-EMS-M02-0070,学员管理,跟进,跟进方式下拉遍历,1.,1.选择电话/微信/面谈/试听/活动 各保存,1.全部保存成功 列表图标正确,P2,枚举遍历,已通过
ZW-EMS-M02-0071,学员管理,列表,回车触发搜索,1.输入搜索关键字,1.按下Enter键,1.触发搜索 结果正确,P2,易用性,已通过
ZW-EMS-M02-0072,学员管理,列表,高级筛选展开/折叠,1.,1.点击【高级筛选】,1.展开显示更多条件 再次点击折叠,P2,易用性,已通过
ZW-EMS-M02-0073,学员管理,导入,导入模板最新-下载模板版本号与系统一致,1.,1.下载模板查看版本号cell,1.与系统设置中模板版本号保持一致,P2,一致性,已通过
ZW-EMS-M02-0074,学员管理,导入,大数据量导入5万条耗时与进度条,1.,1.导入5万条xlsx,1.显示进度条百分比 最终结果统计,P2,性能-单次任务,已失败-已优化
ZW-EMS-M02-0075,学员管理,导出,导出大数据量5万条-不超时,1.,1.导出5万条,1.任务完成 文件正常下载,P2,性能,已通过
ZW-EMS-M02-0076,学员管理,档案,学员编码自动生成 规则=前缀+日期+4位流水,1.新增保存,1.查看学员编码 2.对比下一条,1.格式如 XS202506200001 下一条0002 递增不重复,P1,规则校验,已失败-已修复
ZW-EMS-M02-0077,学员管理,档案,修改状态从意向→试听,1.,1.状态变更,1.操作日志记录 详情页显示状态变更时间与操作人,P1,场景法,已通过
ZW-EMS-M02-0078,学员管理,档案,状态变更为结业-不能再报名,1.学员状态=结业,1.发起报名流程,1.提示："该学员已结业，请先激活",P0,业务规则,已通过
ZW-EMS-M02-0079,学员管理,档案,结业学员激活后状态为在读,1.结业学员,1.点击激活,1.状态=在读 可继续报名,P1,场景法,已通过
ZW-EMS-M02-0080,学员管理,档案,学员信息打印,1.学员详情,1.点击【打印档案】,1.弹出打印预览 格式A4 信息完整,P3,功能,已通过
ZW-EMS-M02-0081,学员管理,导入,导入时手机号含+86前缀正常处理,1.模板中138****0000写成+86138****0000,1.导入,1.自动清洗+86 保存为11位,P1,数据清洗,已通过
ZW-EMS-M02-0082,学员管理,导入,导入时姓名前后空格trim,1.模板姓名写 "  张三  ",1.导入,1.自动去空格 保存为"张三",P1,数据清洗,已通过
ZW-EMS-M02-0083,学员管理,新增,表单字段对齐 UI像素级检查,1.,1.肉眼+标尺对比,1.所有标签左对齐 输入框右对齐 间距一致,P3,UI,已通过
ZW-EMS-M02-0084,学员管理,新增,必填字段红色*号提示,1.,1.查看表单,1.所有必填字段左侧或右侧有红色*号,P3,易用性,已通过
ZW-EMS-M02-0085,学员管理,列表,空数据状态显示插画+文案,1.搜索不存在关键字结果=0,1.查看空状态,1.友好提示+引导按钮 不是一片空白,P3,易用性,已通过
ZW-EMS-M02-0086,学员管理,列表,表格加载中skeleton骨架屏,1.网速慢,F12调到Slow 3G刷新列表,1.先显示骨架再填充数据 不抖动,P3,体验,已通过
ZW-EMS-M02-0087,学员管理,档案,学员转校区-历史数据归属原校区统计,1.学员A从东葛转琅东 东葛有历史订单,1.转校区成功 东葛查历史报表,1.东葛报表仍包含学员A的历史订单 不影响往期财务,P0,数据一致性,已失败-已修复
ZW-EMS-M02-0088,学员管理,跟进,跟进记录删除权限,1.sales01自己写的跟进 销售02登录,1.销售02访问跟进详情删除按钮,1.按钮不显示或点击提示无权限,P0,数据权限,已通过
ZW-EMS-M02-0089,学员管理,跟进,跟进-附件上传类型,1.进入跟进编辑,1.上传jpg/pdf/docx 成功 exe失败,1.仅允许文档与图片,P2,安全,已通过
ZW-EMS-M02-0090,学员管理,新增,保存并继续新增按钮,1.,1.点击保存并新增,1.保存成功 自动打开新的空白表单 光标在姓名,P2,效率,已通过
ZW-EMS-M02-0091,学员管理,列表,列配置-可自定义显示/隐藏列,1.点击列设置按钮,1.取消勾选【来源】【标签】,1.列表不再显示这两列 刷新记忆保存,P2,易用性,已通过
ZW-EMS-M02-0092,学员管理,列表,列宽保存按用户维度,1.用户A设置了列宽 同一浏览器用户B登录,1.用户B看列宽,1.用户B是默认列宽 不受A影响 隔离存储,P2,个性化,已通过
ZW-EMS-M02-0093,学员管理,导入,导入前预览前10行数据,1.选好文件未点击导入,1.查看【数据预览】区域,1.展示前10行，表头+值 有问题可取消,P1,易用性,已通过
ZW-EMS-M02-0094,学员管理,详情,学员详情Tab页加载-默认基本信息,1.,1.进入详情页,1.Tab高亮基本信息 数据已加载,P2,体验,已通过
ZW-EMS-M02-0095,学员管理,详情,课时详情点击可跳转到对应订单,1.课时记录第3行,1.点击跳转按钮,1.跳到对应订单详情 订单号一致,P2,关联跳转,已通过
ZW-EMS-M02-0096,学员管理,试听,试听后一键转报名带出基本信息,1.学员完成试听 试听状态=已到课,1.点击"转报名",1.打开报名页面 已自动带入学员信息+试听课程,P2,效率,已通过
ZW-EMS-M02-0097,学员管理,档案,合并重复学员-选择保留主记录合并课时,1.手机号相同2条重复学员 各有课时20和30,1.合并操作 保留ID大的,1.合并后课时=50 操作日志记录合并 被合并的标记删除,P0,数据治理,已通过
ZW-EMS-M02-0098,学员管理,档案,合并后不产生报名缴费金额错误,1.同上 各有订单,1.合并后查财务报表,1.总营收不变 订单正确关联到保留学员,P0,数据一致性,已通过
ZW-EMS-M02-0099,学员管理,档案,回收站查看已删除学员并恢复,1.回收站有5条,1.恢复学员A,1.学员A恢复正常 状态恢复为删除前状态,P1,场景法,已通过
ZW-EMS-M02-0100,学员管理,档案,回收站彻底删除-30天后自动清理,1.删除已过30天,1.登录管理员账号清理,1.可配置清理周期 默认30天,P3,策略,已通过
ZW-EMS-M02-0101,学员管理,新增,重复提交 快速点击保存3次,1.,1.鼠标连点3次保存,1.最终只有1条 没有重复数据,P0,防抖,已失败-已修复
ZW-EMS-M02-0102,学员管理,新增,键盘Tab键焦点顺序正确,1.,1.从第一个字段连续按Tab,1.焦点依次：姓名→手机→性别→年级→来源→跟进人→保存按钮,P3,无障碍,已通过
ZW-EMS-M02-0103,学员管理,列表,移动端响应式-宽度768px,1.缩窄浏览器到768px,1.查看列表,1.横向可滚动 主要列不重叠 按钮可点击,P3,响应式,已通过
ZW-EMS-M02-0104,学员管理,新增,表单提交后脏数据拦截离开,1.已填写未保存,1.点击浏览器返回或关闭,1.弹出："您有未保存的更改，确定离开吗？",P2,体验,已通过
ZW-EMS-M02-0105,学员管理,跟进,跟进提醒触发站内信+微信模板消息,1.设置了明天9点提醒,1.时间到达,1.同时收到站内信与微信模板消息 内容一致,P2,通知一致性,已通过
ZW-EMS-M02-0106,学员管理,档案,分配跟进人-原跟进人不再看得到,1.学员A原跟进sales01 改为sales02,1.sales01登录查看,1.sales01看不到学员A（配置仅自己可见时）,P0,数据权限-切换,已失败-已修复
ZW-EMS-M02-0107,学员管理,档案,分配跟进人-可选择协同跟进人可查可编辑,1.添加sales03为协同跟进人,1.sales03登录,1.可查看和编辑学员A 操作权限与主跟进人一致,P1,场景法,已通过
ZW-EMS-M02-0108,学员管理,新增,渠道UTM参数统计学员来源,1.通过广告链接：?utm_source=baidu&utm_campaign=k12,1.在此会话新增学员,1.学员来源=线上投放 渠道明细保存baidu k12,P2,埋点,已通过
ZW-EMS-M02-0109,学员管理,新增,utm参数过期后（24小时）不影响,1.utm链接进来关闭浏览器 第2天直接访问,1.新增学员,1.渠道明细为空（可选默认）,P1,规则校验,已通过
ZW-EMS-M02-0110,学员管理,档案,学员二维码扫码查看档案,1.详情页显示二维码,1.手机扫码登录管理员,1.手机端显示该学员档案移动端页面,P2,增值功能,已通过
ZW-EMS-M02-0111,学员管理,跟进,跟进转化漏斗数据统计正确,1.本月有100意向→30试听→20报名,1.数据看板查看漏斗,1.数字一致 转化率 20%,P1,数据校验-SQL,已通过
ZW-EMS-M02-0112,学员管理,导出,导出文件命名规则含校区+时间戳,1.东葛校区导出,1.下载文件名,1.格式如：学员列表_东葛校区_20250620_153022.xlsx,P2,规范,已通过
ZW-EMS-M02-0113,学员管理,导入,导入失败明细可下载,x条失败,1.点击下载失败明细,1.失败文件含每条失败原因+原始行,P1,易用性,已通过
ZW-EMS-M02-0114,学员管理,列表,表格冻结表头滚动,1.50条数据滚动,1.向下滚动,1.表头始终固定在顶部 不丢失列名,P2,体验,已通过
ZW-EMS-M02-0115,学员管理,列表,批量选中-翻页保持,1.选中第1页5条 去第2页选3条,1.回到第1页,1.第1页仍选中5条 共8条,P1,体验,已通过
ZW-EMS-M02-0116,学员管理,新增,性别默认空 必须选,1.新增表单,1.不选性别直接保存,1.提示必填,P1,等价类,已通过
ZW-EMS-M02-0117,学员管理,新增,意向课程多选-最多5门,1.选择了5门课程,1.再勾选第6门,1.提示最多选择5门,P1,边界值,已通过
ZW-EMS-M02-0118,学员管理,新增,地址字段最多200字,1.输入201字,1.保存,1.提示地址字数超限,P1,边界值,已通过
ZW-EMS-M02-0119,学员管理,跟进,跟进记录可编辑自己的,1.本人写的跟进,1.点击编辑,1.可编辑 保存后更新,P1,场景法,已通过
ZW-EMS-M02-0120,学员管理,跟进,跟进记录-别人的编辑按钮置灰,1.销售02看销售01的跟进,1.查看按钮,1.无编辑/删除按钮 或置灰不可点,P0,权限,已通过
ZW-EMS-M02-0121,学员管理,详情,身份证号脱敏显示,1.管理员以外角色,1.查看身份证号,1.显示 450***********0011 中间10位*,P0,安全-脱敏,已通过
ZW-EMS-M02-0122,学员管理,新增,防重复提交用token机制,1.后端启用防重token,1.拿相同token请求2次,1.第2次返回重复提交,P0,安全,已通过
ZW-EMS-M02-0123,学员管理,新增,重复提交+数据库唯一索引双重保障,1.关闭前端验证,1.相同手机号连续请求3次,1.数据库唯一索引拦截 只有1条,P0,数据一致性,已通过
ZW-EMS-M02-0124,学员管理,搜索,搜索关键字高亮,1.搜索"张三",1.查看列表姓名列,1."张三"被黄色或蓝色高亮显示,P2,体验,已通过
ZW-EMS-M02-0125,学员管理,搜索,搜索历史记录最近10个,1.多次搜索A B C关键字,1.点击搜索框下拉,1.显示搜索历史 有清空按钮,P2,体验,已通过
ZW-EMS-M02-0126,学员管理,档案,批量分配跟进人,1.选中10条,1.批量分配给销售02,1.10条全部更改为销售02跟进,P1,场景法,已通过
ZW-EMS-M02-0127,学员管理,档案,批量分配+二次确认,1.同上,1.点击分配,1.弹窗确认覆盖/追加两种模式,P1,判定表,已通过
ZW-EMS-M02-0128,学员管理,档案,潜在学员30天未跟进自动提醒校长,1.30天内没跟进记录的意向学员10个,1.登录校长账号,1.首页提醒卡片：待跟进学员 10,P2,策略,已通过
ZW-EMS-M02-0129,学员管理,档案,重复学员检测-同手机号/同家长手机,1.新增与已有手机号相同,1.输入后失焦,1.失焦就提示重复 不用等提交,P1,体验,已通过
ZW-EMS-M02-0130,学员管理,列表,列表支持关键字搜索+筛选组合,1.搜索+状态+校区,1.组合提交,1.结果为交集 AND 关系,P0,查询逻辑,已通过
ZW-EMS-M02-0131,学员管理,列表,列表筛选结果为空,1.条件极其严格无结果,1.搜索,1.空状态提示+清空按钮,P2,体验,已通过
ZW-EMS-M02-0132,学员管理,详情,家长姓名支持多个家长,1.输入父母双家长,1.保存,1.可添加多个家长记录,P1,扩展,已通过
ZW-EMS-M02-0133,学员管理,详情,每个家长可绑定不同微信openid,1.,1.家长扫码,1.消息发到对应绑定的微信,P1,消息,已通过
ZW-EMS-M02-0134,学员管理,跟进,通话记录自动生成跟进（对接座机）,1.安装呼叫中心,1.销售外呼结束,1.自动生成一条跟进记录含通话时长+录音下载,P3,对接,已通过
ZW-EMS-M02-0135,学员管理,新增,年级与出生日期联动提示,1.2018年出生=1年级,1.选2018生日,1.自动带出建议年级：一年级 可调整,P2,智能推荐,已通过
ZW-EMS-M02-0136,学员管理,新增,年级与出生日期不一致时提示,1.2015年出生却选了1年级,1.保存,1.非阻断提示："根据年龄建议年级为三年级，已为您保留选择",P2,校验,已通过
ZW-EMS-M02-0137,学员管理,列表,导出权限控制-无导出角色看不到按钮,1.无导出权限角色,1.登录查看,1.导出按钮隐藏,P0,权限,已通过
ZW-EMS-M02-0138,学员管理,列表,导入权限控制,1.无导入权限,1.访问导入URL,1.403,P0,权限,已通过
ZW-EMS-M02-0139,学员管理,列表,批量操作无选中禁用按钮,1.未选中任何,1.查看批量按钮,1.批量删除/批量分配按钮置灰,P2,体验,已通过
