缺陷ID,项目,模块,子模块,缺陷标题,缺陷等级,缺陷类型,环境,前置条件,复现步骤,实际结果,期望结果,是否必现,发现人,指派给,发现日期,状态,关闭日期,回归结果,备注,所属用例
BUG-EMS-0015,EMS-V2.0,权限登录,防暴破,5次密码错误锁定策略 只在前端写了死 后端无任何校验,严重,安全,SIT Burp Intruder,账号admin 已知用户名,1.用Burp Intruder 发送 密码字典 200个,1.200个请求全部返回 正常响应 没有被锁定 2.后端没做计数,1.后端Redis计数 10分钟内5次错误锁定账号30分钟 并记录登录日志,是,苏绍彰,后端-安全,2025-06-27,已关闭,2025-06-30,通过,登录失败后写入Redis key=login_fail:{username} TTL=600s 5次就锁,ZW-API-004
BUG-EMS-0016,EMS-V2.0,性能,登录接口,100并发 登录接口 P95=3.28秒 TPS=142 不满足SLA ≥200 TPS,严重,性能,PERF 8C16G×3,JMeter 100并发,1.JMeter发起 2.POST /api/auth/login 持续10分钟,1.TPS最高到142 瓶颈 2.P95 3.28s 超目标,1.≥200 TPS P95 ≤2s,是,苏绍彰,全组调优,2025-07-21,已关闭,2025-08-01,通过,权限菜单加入Redis缓存+HikariCP连接池从20调80,性能调优报告
BUG-EMS-0017,EMS-V2.0,性能,报名缴费接口,500并发 报名接口 TPS=38 P95=6.8s 严重不达标,致命,性能,PERF,额定并发压测,基准脚本+500u,1.JMeter 500线程 3阶段加压,1.TPS=38且持续下降 2.应用服务器CPU 95% GC频繁,1.TPS≥200 P95≤3s,是,苏绍彰,全组调优,2025-07-21,已关闭,2025-08-01,通过,HashMap→ConcurrentHashMap+课程/优惠券Caffeine二级缓存+大事务拆分MQ异步,性能报告第3章
BUG-EMS-0018,EMS-V2.0,性能,财务报表,500并发 报表查询P95=12.44秒 超时,SLA=5s,严重,性能,PERF,额定并发压测,报表接口压测脚本,1.JMeter并发,1.大量SQL慢查询filesort 2.主库压力大,1.P95≤5s,是,苏绍彰,DBADBA顾问,2025-07-21,已关闭,2025-08-01,通过,联合覆盖索引+SQL改写JOIN+读从库+预计算报表表,性能报告
BUG-EMS-0019,EMS-V2.0,学员管理,列表,学员列表-翻页第1页选中3条 到第2页选2条 返回第1页 第1页选中的没了,一般,体验,SIT Chrome,学员数据≥20,1.第1页 勾选 3条 2.点分页第2页 勾选2条 3.返回第1页,1.第1页勾选全清空了 2.批量删除只能操作当前页的,1.跨页选中状态保留 2.批量操作 顶部显示已选5条 能清除,是,苏绍彰,前端-张工,2025-06-28,已关闭,2025-07-01,通过,Vuex持久化跨页选中的Set集合,ZW-EMS-M02-0059
BUG-EMS-0020,EMS-V2.0,报名缴费,优惠叠加,首单9折 + 满2000-200 叠加顺序错误：先满减再9折 导致公司少收20元/单,严重,计算错误,SIT,新学员 首单 20课时=2000 产品规则：先折扣再满减（优惠金额最小化 公司利益最大）,1.新学员报名20课时 2.优惠首单9折自动应用 满减规则也在 3.看实付,1.前端显示实付=1620（算法：2000-200=1800 ×0.9=1620）,1.实付=1800（算法：2000×0.9=1800 → 不满2000 不再满减 ）,是,苏绍彰,产品+后端,2025-06-28,已关闭,2025-07-01,通过,按产品规定的先后顺序：首单→续费→券→满减,ZW-EMS-M04-0100
BUG-EMS-0021,EMS-V2.0,小程序,报名,小程序家长端 支付成功 关闭微信返回小程序 订单状态还显示"待支付" 得手动刷新,一般,体验,微信8.0.49 iOS 17,小程序 选20课时 点支付,1.支付成功 点【完成】返回小程序 2.看我的订单,1.订单条状态=待支付 2.下拉刷新才变成已支付,1.支付成功返回小程序 立刻轮询/回调刷新订单状态为已支付 显示支付成功弹窗,偶发(60%),苏绍彰,小程序-林工,2025-06-29,已关闭,2025-07-02,通过,返回页面时 onShow事件触发 queryOrderStatus 最多3次最多3秒,小程序相关
BUG-EMS-0022,EMS-V2.0,教师H5,考勤,教师考勤打卡 定位允许设置模拟位置,一般,业务规则,SIT 安卓14 模拟定位APP,教师账号 定位距校区10km 通过FakeGPS设置到校区门口,1.打开H5 2.点击考勤打卡,1.显示"距离30米 打卡成功",1.需要检测是否模拟位置：安卓模拟器/FakeGPS 返回"请关闭模拟位置" 或使用基站+WiFi综合定位,偶发,苏绍彰,移动端组,2025-06-29,待验证,2025-07-03,已验证通过,Android端加入isFromMockProvider检测 苹果则用额外签名校验,ZW-API-073
BUG-EMS-0023,EMS-V2.0,系统设置,操作日志,敏感操作（批量删除50条学员、退费1万以上） 没有二次确认（密码验证）,一般,安全合规,SIT,管理员登录 学员50条,1.学员列表勾选50条 2.点删除 3.直接弹窗确认 4.就删成功,1.只点了一次确认就删掉了 50条 2.无任何二次验证,1.达到阈值（>20条/退费>2000元）必须输入登录密码 + 短信验证码双因子认证,是,苏绍彰,后端+前端,2025-06-30,已关闭,2025-07-03,通过,加入敏感操作二次验证 @SensitiveOp 注解AOP拦截,ZW-EMS-M02-0168
BUG-EMS-0024,EMS-V2.0,报名缴费,支付回调,微信支付回调XXE漏洞存在：提交包含外部实体的XML 读取服务器文件,致命,安全-XXE,SIT,测试用XXE payload,POST回调接口 body为恶意DOCTYPE实体,1.抓包 response 响应中 显示了/etc/passwd中的内容或报错堆栈包含root,1.响应固定SUCCESS FAIL XML 不解析外部实体 2.禁用DTD,是,苏绍彰,安全,2025-07-01,已关闭,2025-07-02,通过,SAXParserFactory setFeature DISALLOW_DOCTYPE_DECL=true,ZW-API-112 / test_api_enrollment XXE用例
BUG-EMS-0025,EMS-V2.0,学员管理,报表,学员转校区（东葛→琅东） 东葛7月历史报表 学员订单金额也一起被移走了 导致7月报和已结账数据对不上,严重,财务-关账,SIT DB,7月东葛已结账关账 8月做了学员转校区,1.8月 学员A 从东葛转至琅东 2.重新看 东葛 7月 营收报表 3.对比上月已结账PDF,1.7月报表 金额比7月结账时 少了学员A那笔（2000元） 2.财务7月账不平,1.学员转校区：新产生的订单归属琅东，历史订单归属、报表统计必须仍留原校区（关账的历史报表不得变动）,是,苏绍彰,后端-财务,2025-07-02,已关闭,2025-07-05,通过,报表SQL中 归属校区=订单创建时的校区（快照字段）而非学员当前校区,ZW-EMS-M02-0087
BUG-EMS-0026,EMS-V2.0,报名缴费,订单,订单创建成功后 查询接口 返回订单号 存在高并发下 订单号重复（1小时内发现2单）,严重,唯一约束,SIT 并发压测,JMeter 300并发 跑报名接口,1.跑完 25万订单 2.查订单号重复count,1.发现2个订单号相同 ZW20250630001245 重复了 2次,1.订单号生成必须加数据库唯一索引 2.高并发下Redis原子递增保证唯一,偶发,苏绍彰,后端,2025-07-03,已关闭,2025-07-06,通过,订单号改为 Redis INCR 自增6位+日期+snowflake workerId,ZW-EMS-M02-0076
BUG-EMS-0027,EMS-V2.0,权限登录,接口越权,学员列表接口 sales01 的token 但请求中修改请求参数 followUserId=2 to =1(admin),一般,越权,SIT Burp Repeater,sales01登录 拿token GET /api/student/list?followUserId=1,1.Burp 改参数 followUserId=1（管理员跟进的） 2.发送请求,1.返回了管理员跟进的学员列表 包含本不该看到的100条学员,1.服务端忽略前端传来的followUserId 参数 强制用token解析出的用户角色/校区过滤,是,苏绍彰,后端-权限,2025-07-04,已关闭,2025-07-06,通过,数据权限@DataScope注解AOP 强制替换查询条件,ZW-API-015
BUG-EMS-0028,EMS-V2.0,学员管理,导入,大数据量导入5万条Excel 进行到3.2万条 前端超时 前端提示失败 但后台仍继续导入 最终数据不一致,一般,异步,SIT Nginx 超时60s,5万条Excel导入,1.导入5万条xlsx 2.等待,1.过了60s 前端显示504 2.但10分钟后DB中出现了5万条 3.用户以为失败 再导入一次 变成10万条重复,1.大导入走异步任务+任务ID 2.前端轮询任务状态 3.任务ID也加入幂等校验,是,苏绍彰,前后端,2025-07-05,已关闭,2025-07-08,通过,@Async异步+MQ导入+任务状态表,ZW-EMS-M02-0074
BUG-EMS-0029,EMS-V2.0,学员管理,家长消息,学员余额不足10课时 触发提醒 余额=10 又消耗1=9 同一条消息 发了3次给家长（模板消息+站内信+短信各1条算3次，但实际模板消息发了3次）,轻微,体验,SIT 家长微信绑定,学员A剩余课时=10 刚好扣一节,1.老师考勤扣减1课时 2.查微信通知发送记录,1.模板消息 3条记录 同一内容 发送时间差1秒 2.家长收到3条重复消息,1.每个事件 每种渠道 只发1条 消息幂等去重 key=studentId+eventType+day,偶发,苏绍彰,后端-消息,2025-07-06,已关闭,2025-07-09,通过,消费前先 setnx msgIdempotent:{key} 10s 成功才发,ZW-EMS-M02-0157
BUG-EMS-0030,EMS-V2.0,小程序,请假,小程序请假 距离上课不足2小时 系统提示不允许请假 但后台数据库请假记录已经插进去了 状态=待审核 老师还是收到提醒,一般,数据一致性,SIT 小程序+后台,课程 15:00 现在=13:30（差1.5h）,1.小程序 发起请假 2.提示"不足2h 不予请假",1.查后台：请假表1条已插入 老师收到了请假待审核提醒 2.与提示不符,1.规则不通过时 事务回滚 既不入库也不发消息,是,苏绍彰,后端,2025-07-07,已关闭,2025-07-09,通过,把规则校验放到Service最前 且 消息发送要@TransactionalEventListener phase=AFTER_COMMIT,ZW-API-094
BUG-EMS-0031,EMS-V2.0,报名缴费,退费,退费时 原路返回组合支付 微信支付部分手续费 退费从商家承担的手续费 计算错了,一般,财务,SIT 组合支付订单,订单 微信1000 + 余额800 = 1800 手续费微信扣了6元,1.全额退费 2.查看微信退款和手续费明细 3.查财务对账,1.微信退款实际退1000 但报表中 手续费冲销 算了 10.8元（按1800算的）,1.按各渠道实际手续费 原路冲销对应,是,苏绍彰,后端-财务,2025-07-08,待验证,2025-07-10,已验证,支付流水需要按渠道分开存 退费按渠道分别冲销,ZW-EMS-M04-0018
BUG-EMS-0032,EMS-V2.0,系统设置,字典,字典删除后 历史数据显示dictId 不显示对应名称,一般,体验,SIT,字典-来源 存在 原id=5=地推 然后被管理员删了,1.删除字典项id=5 2.看学员列表来源列 学员来源是地推 也就是 id=5,1.学员列表显示"5"（数字dictId）不显示任何名称 2.用户看不懂,1.历史数据采用字典值快照(冗余存name) 或 已被引用的字典不允许删除只可停用,是,苏绍彰,后端+前端,2025-07-09,已关闭,2025-07-11,通过,字典表 加入 status 字段 停用而非物理删除,通用-字典
BUG-EMS-0033,EMS-V2.0,小程序,绑定,验证码 同一个验证码 可以被使用多次（5次尝试全通过）,严重,安全,SIT 脚本,拿到一个正确的code,1.脚本发送50次 绑定接口 带同 code,1.前50次 全部成功通过（code未被消费）,1.一个验证码 仅能使用一次 使用后立刻置为已使用,是,苏绍彰,后端,2025-07-10,已关闭,2025-07-11,通过,Redis存储 code_status:{code}=UNUSED 验证成功转USED 原子Lua,ZW-API-121
BUG-EMS-0034,EMS-V2.0,学员管理,批量操作,批量分配跟进人 100个学员ID中 有1个被删的无效ID 事务全部回滚100个都没有分配成功,一般,体验,SIT,99有效+1无效ID,1.选中 99个真实+1个无效 一起提交批量分配,1.HTTP 500 返回失败 2.去DB看 99个都没生效,1.部分成功部分失败：返回json {success:99,failed:1,failedIds:[xxx原因]},是,苏绍彰,后端,2025-07-11,待验证,2025-07-13,通过,拆批处理 + saveBatch 事务改成单条捕获异常收集,ZW-API-087
BUG-EMS-0035,EMS-V2.0,学员管理,档案,学员生日 6月15日（今天是 6月15日 年龄=8岁整 但系统显示7岁（生日当天未+1）,轻微,计算,SIT,生日=2017-06-15 今天=2025-06-15,1.学员详情 年龄,1.年龄显示7岁,1.年龄=8岁 生日当天满周岁,是,苏绍彰,后端,2025-07-12,已关闭,2025-07-13,通过,年龄算法 ChronoUnit.YEARS.between(birth, today) 改 Period + 判断月日,ZW-EMS-M02-0056
BUG-EMS-0036,EMS-V2.0,财务,对账,报名缴费成功了 但支付流水没有 订单状态已支付 查流水表 缺失对应记录 对账任务没发现,严重,资金,SIT 人工造异常场景,插入 订单状态=已支付 但 流水表无此订单号,1.凌晨2:00 对账定时任务跑完 2.看财务差异表 3.看管理员告警邮件,1.差异表无记录 也没收到邮件告警 2.问题被隐瞒,1.对账任务必须发现订单与流水不匹配 并入库差异表 + 邮件告警 + 钉钉告警,是,苏绍彰,后端-财务,2025-07-13,已关闭,2025-07-15,通过,全量比对 LEFT JOIN 流水表 IS NULL 记录到差异,ZW-EMS-M04-0128
BUG-EMS-0037,EMS-V2.0,权限登录,Token,用户登出后 立即使用旧token 请求学员接口 仍成功返回（token未立即失效 只能被动等过期24h）,一般,安全,SIT,管理员登录 然后登出 拿旧token,1.请求登录 拿token 2.POST登出 3.立刻用这个旧token GET学员列表,1.学员列表成功返回 200 data,1.登出后token加入Redis黑名单 1ms内生效,是,苏绍彰,后端-安全,2025-07-14,已关闭,2025-07-16,通过,自定义过滤器 先查Redis logout:{token} 存在就401,ZW-API-081 test_logout
BUG-EMS-0038,EMS-V2.0,智能排课,自动排课,自动排课触发后 数据库死锁：10分钟仍不出结果 JMeter线程一直阻塞,严重,性能,PERF,1000班级自动排课,1.校长触发全校自动排课,1.10分钟不出结果 2.DB SHOW PROCESSLIST 看到 3个事务 互相等待死锁,1.正常完成 无死锁 预计5分钟内出结果,偶发,苏绍彰,DBA+后端,2025-07-15,已关闭,2025-07-18,通过,统一排课顺序按classId ASC加锁 避免循环等待+事务超时120s,智能排课模块
BUG-EMS-0039,EMS-V2.0,报表,导出,报表大数据量导出（6万行） 接口HTTP 504超时 直接失败,一般,体验,SIT Nginx 超时60s,条件导出 6月 所有报名订单 6万行,1.点导出,1.60s后 Nginx返回504 Gateway timeout 2.用户重复点导致服务器资源耗尽,1.大导出异步任务 显示进度条 完成后系统消息+邮件给下载链接,是,苏绍彰,前后端,2025-07-16,已关闭,2025-07-20,通过,导出改为Async + EasyExcel 流式写+COS临时文件存7天,报表导出
BUG-EMS-0040,EMS-V2.0,权限,角色,创建角色的时候 权限保存 选择了"学员删除" 但没选"学员查看" 组合无效：没查看却有删除,一般,权限,SIT,角色管理 新增角色,1.新建角色 2.勾选 学员管理-删除 3.不勾选 学员管理-查看 4.保存 5.该角色用户登录,1.登录后 看不到学员列表 但直接请求删除接口 成功删除学员,1.依赖权限自动包含：删除/编辑必须 依赖查看+列表 2.不允许组合权限出现"只有子权限没有父权限",是,苏绍彰,后端-权限,2025-07-17,待验证,2025-07-19,通过,保存时 自动补全 父级权限+依赖权限,权限-角色
BUG-EMS-0041,EMS-V2.0,通用,SQL,全局过滤XSS时 把学员名"李国强" 错误地改成了"李**强"（把"国"字当成敏感词了）,一般,体验/SQL,SIT Chrome,学员姓名=李国强,1.保存 2.看列表,1.列表显示 李**强 被错误屏蔽,1.只屏蔽HTML标签 不拦截普通中文敏感词（应另外做文字审核组件不直接改内容）,是,苏绍彰,后端,2025-07-18,已关闭,2025-07-20,通过,XSS过滤改用Jsoup.clean 白名单方式,通用过滤
BUG-EMS-0042,EMS-V2.0,学员管理,详情,学员余额课时数 从明细聚合显示 小数位出现 30.000000000002 课时,一般,计算,SIT,多次转课+退费 浮点运算累计,1.学员详情 课时余额,1.显示 30.000000000002,1.课时字段用 BigDecimal 数据库 DECIMAL(10,2) 显示保留整数或2位小数,是,苏绍彰,后端,2025-07-19,已关闭,2025-07-21,通过,课时/金额 一律 BigDecimal 禁止 float/double,数据精度用例
BUG-EMS-0043,EMS-V2.0,报名缴费,定金,定金订单 超时未补尾款 定时任务 执行了 但订单状态没变成"已取消" 定金也没按规则 不退,一般,状态机,SIT 配置3天超期,1.3天前 创建定金订单 2.定时任务到点执行 手动触发,1.订单状态 仍然=待补尾款,1.3天后 订单=已取消 定金按约定不退（转入营业外收入）,是,苏绍彰,后端,2025-07-20,已关闭,2025-07-22,通过,定时任务 时间比较 用 <= 条件 之前用的= 漏掉很多,定金-状态机
BUG-EMS-0044,EMS-V2.0,教师H5,评价,教师提交的课堂评价 家长端小程序看到的文字内容 前后多了一些 转义字符 比如 小朋友&quot;真棒&quot;,轻微,体验,SIT,教师提交内容含双引号,1.教师评价：小朋友"真棒"！ 2.提交 3.家长端查看,1.显示为 小朋友&quot;真棒&quot;！,1.前端或后端做一次 HTML unescape 渲染,是,苏绍彰,前端,2025-07-21,已关闭,2025-07-22,通过,Vue v-html自动转义改成 过滤器decodeEntities,评价显示
BUG-EMS-0045,EMS-V2.0,报名缴费,发票,开票接口 税号不匹配 也能开 不调用税局校验API 最后财务红冲率高,一般,合规,SIT,开票抬头A有限公司 税号随便填18个数字,1.家长申请开票 2.税号与抬头不匹配 3.提交,1.开票成功 4.实际电子发票税局端显示 税号错误 财务红冲,1.必须对接 电子税局 企业信息一致性校验接口 不匹配 400拒绝,是,苏绍彰,财务组,2025-07-22,待验证,2025-07-24,通过,接入金税四期 企业抬头+税号 校验服务,ZW-EMS-M04-0066
BUG-EMS-0046,EMS-V2.0,权限,操作日志,审计日志中 关键操作 的 操作者IP 显示是 Nginx内网IP 192.168.1.210 而不是真实用户公网IP,一般,合规/审计,SIT Chrome F12 公网访问,公网IP: 222.216.1.x 任意操作删除,1.看审计日志 操作人IP 列,1.显示= 192.168.1.210 Nginx IP 无法定位真实人员,1.取 X-Forwarded-For 第一个IP 保存 审计日志 真实公网IP,是,苏绍彰,运维+后端,2025-07-23,已关闭,2025-07-25,通过,Nginx配置proxy_set_header X-Forwarded-For $proxy_add_x_forwarded_for; 后端取第0个,审计日志用例
BUG-EMS-0047,EMS-V2.0,学员管理,回收站,回收站 彻底删除学员 30天后自动清理 清理的学员 订单 变成外键孤儿 查报表 订单学员名都为空,一般,数据,SIT 构造回收站30天前数据,1.跑清理任务 2.看订单学员明细表,1.学员被硬删 订单学员姓名变空 关联不了,1.回收站清理学员 必须软删除 保留学员主数据基础字段（姓名、编码）供历史报表,是,苏绍彰,后端,2025-07-24,已关闭,2025-07-26,通过,回收站 学员归档到 history表 或一直保留 只是UI回收站清理,ZW-EMS-M02-0100
BUG-EMS-0048,EMS-V2.0,小程序,订单,小程序 订单详情 分享给微信好友 打开后 看到的是别的学员的订单详情（缓存key用的是订单号 不含用户）,严重,信息泄露,SIT 微信小程序,学员A订单号=2001 学员B订单=2002 同一个小程序 同一次冷启动,1.学员A 打开订单 2001 分享卡片给家长 2.家长点卡片 但是家长当前登录的是学员B 绑定账号 3.打开看,1.显示的订单内容是A的 2001 手机号、课时、缴费信息 都看到了,1.分享卡片链接 需要带签名 token 权限校验 打开分享人 必须与订单学员家长一致 或者 只能查看脱敏+只读信息,是,苏绍彰,小程序-林工,2025-07-25,已关闭,2025-07-28,通过,分享路径?orderId=xxx&sign=md5(orderId+openid+timestamp)&t=time 过期24h,ZW-EMS-M02-0155
BUG-EMS-0049,EMS-V2.0,报名缴费,转课,转课 原老师课酬 结转 新老师课酬 小数差 0.01 结转不平,轻微,财务,SIT,数学10节×10=1000 原老师课酬比例50%=500 转英语 10节×90=900 老师60%=540 0.01差,1.转课成功 2.看月末课酬报表 原老师-500 新老师+540 合计+40,1.中间金额误差 0.01 造成 合计科目借贷不平 差0.01,1.借贷差0.01 系统自动用"尾差调整科目"调平,是,苏绍彰,后端-财务,2025-07-26,已关闭,2025-07-29,通过,月末结转 最后一张凭证加尾差调整,ZW-EMS-M04-0058
